label,dependence
RFeS_dis,H
RFeS_dis,TCO2
RFeS_dis,TH2S
RFeS_pre,H
RFeS_pre,TCO2
RFeS_pre,TH2S
RFeCO3_dis,H
RFeCO3_dis,TCO2
RFeCO3_dis,TH2S
RFeCO3_pre,H
RFeCO3_pre,TCO2
RFeCO3_pre,TH2S
RNdnrPO4_pre,H
RNdnrPO4_pre,TCO2
RNdnrPO4_pre,TH4SiO4
RNdrPO4_pre,H
RNdrPO4_pre,TCO2
RNdrPO4_pre,TH4SiO4
RCaCO3_dis,TCO2
RCaCO3_dis,H
RCaCO3_pre,TCO2
RCaCO3_pre,H
RMnCO3_dis,TCO2
RMnCO3_dis,H
RMnCO3_pre,TCO2
RMnCO3_pre,H
RBSi_dis,TH4SiO4
RBSi_dis,H
RNdnrPO4_pre,TH3PO4
RNdrPO4_pre,TH3PO4
RFeS_dis,TFe
RFeS_dis,FeOOH
RFeS_dis,MnO2
RFeS_pre,TFe
RFeS_pre,FeOOH
RFeS_pre,MnO2
RFeCO3_dis,TFe
RFeCO3_dis,FeOOH
RFeCO3_dis,MnO2
RFeCO3_pre,TFe
RFeCO3_pre,FeOOH
RFeCO3_pre,MnO2
RNdnrPO4_pre,TNdnr
RNdnrPO4_pre,FeOOH
RNdnrPO4_pre,MnO2
RNdrPO4_pre,TNdr
RNdrPO4_pre,FeOOH
RNdrPO4_pre,MnO2
RMnCO3_dis,TMn
RMnCO3_dis,FeOOH
RMnCO3_dis,MnO2
RMnCO3_pre,TMn
RMnCO3_pre,FeOOH
RMnCO3_pre,MnO2
RO2Mn,TMn
RO2Mn,FeOOH
RO2Mn,MnO2
RO2Mn_ads,MnO2
RO2Mn_ads,Mn
RO2Mn_ads,FeOOH
RO2Fe,TFe
RO2Fe,FeOOH
RO2Fe,MnO2
RO2Fe_ads,MnO2
RO2Fe_ads,Fe
RO2Fe_ads,FeOOH
RNO3Mn,TMn
RNO3Mn,FeOOH
RNO3Mn,MnO2
RNO3Fe,TFe
RNO3Fe,FeOOH
RNO3Fe,MnO2
RMnO2Fe,TFe
RMnO2Fe,FeOOH
RMnO2Fe,MnO2
RFeS_dis,SO4
RFeS_pre,SO4
RFeCO3_dis,SO4
RFeCO3_pre,SO4
RNdnrPO4_pre,SO4
RNdrPO4_pre,SO4
RCaCO3_dis,Ca
RCaCO3_pre,Ca
RNdnrPO4_pre,NdnrPO4
RNdnrPO4_pre,NdrPO4
RNdrPO4_pre,NdrPO4
RNdrPO4_pre,NdnrPO4
RO2POC,O2
RO2POC,Age
RO2POC,POC
RNO2POC,NO2
RNO2POC,O2
RNO2POC,Age
RNO2POC,POC
RNO3POC,NO3
RNO3POC,NO2
RNO3POC,O2
RNO3POC,Age
RNO3POC,POC
RMnO2POC,MnO2
RMnO2POC,NO3
RMnO2POC,NO2
RMnO2POC,O2
RMnO2POC,Age
RMnO2POC,POC
RFeOOHPOC,FeOOH
RFeOOHPOC,MnO2
RFeOOHPOC,NO3
RFeOOHPOC,NO2
RFeOOHPOC,O2
RFeOOHPOC,Age
RFeOOHPOC,POC
RSO4POC,SO4
RSO4POC,FeOOH
RSO4POC,MnO2
RSO4POC,NO3
RSO4POC,NO2
RSO4POC,O2
RSO4POC,Age
RSO4POC,POC
RCH4POC,SO4
RCH4POC,FeOOH
RCH4POC,MnO2
RCH4POC,NO3
RCH4POC,NO2
RCH4POC,O2
RCH4POC,Age
RCH4POC,POC
RO2NO2,O2
RO2NO2,NO2
RO2NH4,O2
RO2NH4,NH4
RO2Mn,O2
RO2Mn_ads,O2
RO2Fe,O2
RO2Fe_ads,O2
RO2H2S,O2
RO2H2S,TH2S
RO2FeS,O2
RO2FeS,FeS
RO2CH4,O2
RO2CH4,CH4
RNO2NH4,NO2
RNO2NH4,NH4
RNO3Mn,NO3
RNO3Fe,NO3
RNO3H2S,NO3
RNO3H2S,TH2S
RSO4CH4,CH4
RSO4CH4,SO4
RMnO2H2S,MnO2
RMnO2H2S,TH2S
RFeOOHH2S,FeOOH
RFeOOHH2S,TH2S
RFeSH2S,FeS
RFeSH2S,TH2S
RFeS_dis,FeS
RCaCO3_dis,CaCO3
RCaCO3_pre,CaCO3
RMnCO3_dis,MnCO3
RFeCO3_dis,FeCO3
RBSi_dis,BSi
RBSi_dis,Age
